session_id,label,ts,source,scenario_id,attack_subtype,label_method,environment,packet_rate,unique_dst_ports,dst_port_entropy,mean_inter_arrival,std_inter_arrival,unique_src_ips,src_ip_entropy
ddos_multi_04__benign_udpspoof_0,0,1789389383.7307754,real,ddos_multi_04,,generator_ground_truth,docker_multihost,6,1,-0.0,0.91,0.2227,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389383.8707755,real,ddos_multi_04,,generator_ground_truth,docker_multihost,6,1,-0.0,0.91,0.2227,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.0107756,real,ddos_multi_04,,generator_ground_truth,docker_multihost,6,1,-0.0,0.91,0.2227,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.1507757,real,ddos_multi_04,,generator_ground_truth,docker_multihost,6,1,-0.0,0.91,0.2227,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.2907758,real,ddos_multi_04,,generator_ground_truth,docker_multihost,6,1,-0.0,0.91,0.2227,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.430776,real,ddos_multi_04,,generator_ground_truth,docker_multihost,6,1,-0.0,0.91,0.2227,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.570776,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.710776,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.8507762,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389384.9907763,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389385.1307764,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389385.2707765,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389385.4107766,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389385.5507767,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389385.6907768,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389385.830777,real,ddos_multi_04,,generator_ground_truth,docker_multihost,7,1,-0.0,0.9966,0.2808,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389385.970777,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389386.1107771,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389386.2507772,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389386.3907773,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389386.5307775,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389386.6707776,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389386.8107777,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389386.9507778,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389387.0907779,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389387.230778,real,ddos_multi_04,,generator_ground_truth,docker_multihost,8,1,-0.0,1.056,0.2979,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389387.370778,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.1088,0.3117,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389387.5107782,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.1088,0.3117,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389387.6507783,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.1088,0.3117,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389387.7907784,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.1088,0.3117,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389387.9307785,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.1088,0.3117,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389388.0707786,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.1088,0.3117,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389388.2107787,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0794,0.3053,1,-0.0
